Date,southern,northern,central,east_coast,borneo,temp_s,rain_s,rh_s,temp_n,rain_n,rh_n,temp_c,rain_c,rh_c,temp_ec,rain_ec,rh_ec,temp_b,rain_b,rh_b
19/3/2009,2,5,4,2,52,27.74,80.40666667,1.373333333,27.39166667,82.49166667,5.441666667,27.86666667,77.16666667,3.933333333,26.07555556,84.67555556,21.52888889,27.18928571,82.75357143,4.066666667
20/3/2009,1,2,15,0,55,26.76666667,84.57333333,2.306666667,27.29166667,84.675,26.73333333,27.66666667,79.33333333,15,26.51111111,82.75333333,6.804444444,27.09642857,81.35,1.679166667
21/3/2009,3,0,1,2,40,26.95333333,77.63333333,6.853333333,26.4625,83.28333333,7.633333333,27.63333333,76.5,0,26.03111111,81.62222222,3.884444444,27.11071429,84.19285714,11.74166667
22/3/2009,0,5,4,1,21,26.54,82.05333333,1.813333333,27.82916667,78.30416667,0,28.36666667,72.8,0,26.37555556,81.88222222,0.013333333,26.82142857,82.89285714,10.13333333
23/3/2009,9,5,21,8,47,27.57333333,79.93333333,1.493333333,28.5875,77.1125,4.408333333,29.1,71.3,3.2,26.90888889,80.36666667,1.871111111,26.97142857,82.5452381,1.070833333
24/3/2009,3,9,9,2,64,26.56666667,88.25333333,10.8,26.48333333,85.64583333,21.025,25.23333333,88.4,54.33333333,25.49111111,83.80666667,4.266666667,27.15238095,82.43452381,6.133333333
25/3/2009,8,7,5,2,49,27.42,84.85333333,6.28,27.04583333,81.625,18.16666667,27,79.53333333,5.2,26.34666667,80.67111111,1.666666667,26.725,83.66904762,7.241666667
26/3/2009,2,2,8,1,27,27.59333333,83.72,9.12,26.78333333,84.94166667,5.675,26.03333333,84.86666667,35.26666667,26.70222222,82.10666667,5.44,27.61428571,78.83214286,5.391666667
27/3/2009,3,4,11,1,45,26.96666667,83.3,1.546666667,26.2875,86.375,1.141666667,26.5,83.16666667,26.6,26.30444444,83.18888889,2.653333333,27.80357143,79.06071429,5.741666667
28/3/2009,1,0,2,0,31,27.13333333,82.06666667,1.72,27.07916667,81.55416667,6.608333333,26.86666667,81.96666667,9.933333333,26.25333333,83.15111111,3.56,27.01547619,83.29880952,2.3
29/3/2009,1,2,2,1,18,26.64,83,6.013333333,26.6,83.6125,23.2,26.86666667,81.5,3.333333333,26.47555556,83.74222222,6.057777778,27.51190476,81.0452381,18.25416667
30/3/2009,5,3,12,3,50,26.44666667,83.35333333,9.293333333,27.50416667,79.48333333,0.025,26.9,79.03333333,50.53333333,26.56222222,82.10888889,2.2,28.09166667,80.11309524,4.508333333
31/3/2009,9,5,9,1,41,27.06666667,80.4,2.6,28.2125,75.51666667,0,27.46666667,75.86666667,0,26.75111111,79.64888889,1.115555556,27.87261905,82.625,8.429166667
1/4/2009,4,8,10,1,45,27.58666667,79.12,1.186666667,28.61666667,77.19583333,1.958333333,28.63333333,74.46666667,0.933333333,27.05555556,81.14888889,5.542222222,27.54761905,83.50833333,4.6
2/4/2009,5,3,8,0,40,27.96666667,78.29333333,0.653333333,27.325,82.72083333,46.575,27.43333333,80.16666667,26.33333333,26.11555556,83.46,7.737777778,28.09285714,80.60357143,2.25
3/4/2009,6,7,29,0,36,27.08666667,80.07333333,3.84,26.94583333,84.225,13.40833333,27.66666667,78.1,8.8,25.81777778,83.60888889,6.928888889,28.59642857,79.16190476,9.858333333
4/4/2009,0,6,6,1,21,26.95333333,80.30666667,3.733333333,27.20833333,84.01666667,19.84166667,27.06666667,83.16666667,38.8,26.25333333,83.52888889,3.142222222,27.58333333,82.80357143,8.070833333
5/4/2009,1,5,6,2,19,26.82666667,85.66,14.36,27.25416667,84.0375,5.408333333,26.43333333,85.86666667,29.86666667,25.52888889,85.21555556,6.391111111,26.81785714,85.41547619,12.35833333
6/4/2009,7,10,13,2,37,27.10666667,83.50666667,16.84,27.2,84.9125,10.08333333,26.56666667,84.6,18.46666667,26.72,82.95777778,6.777777778,26.74404762,85.22738095,15.64583333
7/4/2009,3,10,8,3,45,26.75333333,83.1,2.213333333,26.40833333,87.87916667,22.56666667,27.36666667,79.4,0,26.22444444,85.78888889,6.213333333,26.94404762,85.09642857,7.825
8/4/2009,1,14,20,2,52,27.11333333,81.59333333,2.706666667,27.77083333,80.93333333,16.45,28.46666667,76.86666667,5.6,26.75777778,85.04888889,1.715555556,27.26309524,85.475,6.579166667
9/4/2009,4,8,22,5,49,26.44,86.86,2.68,26.4125,89.10833333,23.775,28.06666667,76.76666667,5.333333333,26.22,86.93333333,6.573333333,27.78928571,83.48333333,4.4625
10/4/2009,7,4,12,2,37,26.41333333,85.5,30.16,27.06666667,85.97916667,31.75833333,26.63333333,83.43333333,32,26.67333333,85.18888889,5.453333333,28.41071429,81.51547619,5.029166667
11/4/2009,0,2,2,4,30,26.68,84.82,6.533333333,27.45,84.24166667,3.4,26.5,84.93333333,15.33333333,26.69111111,85.99111111,1.471111111,27.79047619,85.36190476,12.32916667
12/4/2009,1,4,5,2,30,26.16,87.49333333,15.73333333,28.06666667,81.50416667,2.183333333,25.8,87.83333333,43.06666667,26.31111111,86.38666667,4.373333333,26.95357143,88.18571429,22.275
13/4/2009,4,4,7,7,60,26.50666667,85.75333333,11.41333333,28.05,82.69166667,2.908333333,26.16666667,85.63333333,11.66666667,27.17333333,83.11111111,4.328888889,26.37738095,88.81785714,11.75416667
14/4/2009,14,6,10,3,47,28.02666667,81.81333333,27.68,28.32916667,81.85416667,11.6,27.7,79.46666667,19.26666667,27.61333333,82.42444444,9.635555556,26.81666667,85.92857143,1.479166667
15/4/2009,5,20,9,0,38,26.49333333,86.07333333,14.24,26.76666667,85.62083333,7.516666667,27.6,79.2,0.266666667,25.15777778,86.81777778,10.97333333,27.51309524,85.67380952,8.616666667
16/4/2009,6,8,10,5,40,27.3,82.07333333,0,28.21666667,81.71666667,2.583333333,28.4,74.33333333,0,26.66888889,82.6,3.133333333,27.38809524,85.24047619,11.16666667
17/4/2009,1,11,7,2,44,28.78666667,77.24,0,29.41666667,77.1875,0,29.83333333,67.96666667,0,27.82666667,79.64222222,0,27.18571429,84.11547619,4.858333333
18/4/2009,2,4,4,1,29,28.75333333,78.80666667,0,29.225,79.41666667,0.383333333,29.46666667,74.96666667,0,27.54888889,82.14444444,0.742222222,28.13333333,77.89880952,1.083333333
19/4/2009,1,5,8,4,23,27.5,83.55333333,1.413333333,28.39166667,81.33333333,11.69166667,28.33333333,78.16666667,0,27.05555556,82.72222222,8.995555556,28.01071429,80.34761905,5.108333333
20/4/2009,10,8,17,1,59,27.62666667,77.92,8.466666667,28.375,78.53333333,21.16666667,28.7,69.7,24.53333333,27.79555556,82.67333333,5.973333333,28.26190476,79.48928571,5.683333333
21/4/2009,10,16,17,1,50,27.04666667,76.93333333,0,26.15416667,85.6625,6.383333333,26.76666667,73.36666667,0,27.00666667,82.26444444,0.053333333,28.05,80.91190476,4.7625
22/4/2009,0,10,20,3,24,28.49333333,74.56666667,0.56,28.45833333,78.97916667,0.225,28.46666667,71.96666667,0,27.64,78.88222222,0.733333333,28.15952381,79.34642857,0.3
23/4/2009,4,11,11,1,50,28.6,75.45333333,0,28.82916667,77.74583333,3.208333333,28.76666667,72.66666667,0,27.10222222,81.08,25.76,28.37738095,78.97142857,9.325
24/4/2009,5,11,8,0,61,28.7,78.26,2.6,27.7375,83.29166667,12.40833333,28.86666667,72.96666667,0,26.88222222,84.05777778,8.751111111,28.16785714,79.24404762,3.175
25/4/2009,1,10,6,0,38,28.89333333,75.76666667,0.506666667,27.62083333,82.74166667,3.15,29.13333333,70,0,27.56,81.73555556,19.73333333,28.55238095,80.12261905,1.308333333
26/4/2009,0,7,5,0,26,27.72,82.05333333,2.586666667,27.80833333,81.4375,0.45,28.33333333,73.4,0,27.76888889,84.50666667,7.933333333,27.86071429,83.475,5.733333333
27/4/2009,6,21,23,6,38,28.18666667,81.04,0.76,28.03333333,82.10416667,0.9,28.13333333,76.8,1.533333333,27.40222222,84.54222222,5.795555556,27.99166667,79.49285714,1.241666667
28/4/2009,2,15,18,5,51,27.69333333,80.84666667,1.84,28.51666667,80.9,2.525,28.86666667,73.6,0,26.72,84.17777778,0,28.36071429,78.10595238,1.766666667
29/4/2009,2,14,20,2,56,27.97333333,80.06,0.52,28.51666667,82.20416667,1.758333333,27.96666667,78.66666667,7.333333333,26.86444444,84.16444444,1.955555556,28.42142857,78.825,1.758333333
30/4/2009,12,7,12,1,40,27.52,81.76,2.666666667,28.18333333,82.025,3.483333333,27.9,79.73333333,0,27.27777778,83.17777778,3.826666667,28.06190476,80.96547619,2.033333333
1/5/2009,0,5,6,0,28,28.06,77.5,0.44,28.2,82.50416667,6.45,28.93333333,73.63333333,0.4,27.74666667,80.97555556,10.40444444,27.64404762,81.17619048,3.6375
2/5/2009,2,7,5,0,27,28.14,81.22,5.826666667,27.3625,86.82916667,42.94166667,28.56666667,77.6,3.933333333,26.52222222,84.42888889,9.462222222,27.96071429,80.31547619,2.575
3/5/2009,0,16,7,0,28,28.08666667,77.76666667,0.413333333,25.63333333,90.0875,39.15833333,27.36666667,75.13333333,0.6,26.71111111,81.69111111,0.946666667,28.11071429,81.725,5.1625
4/5/2009,3,15,10,1,61,28.04666667,75.60666667,0.853333333,26.0625,88.0875,15.29583333,28.03333333,72.56666667,0.266666667,26.61777778,82.18666667,0.955555556,27.23928571,84.49285714,9.483333333
5/5/2009,16,22,14,2,68,28.6,76.17333333,0.933333333,27.1875,85.575,10.225,28.93333333,71.56666667,0.2,26.86666667,82.67333333,9.262222222,27.55,83.06309524,0.125
6/5/2009,4,9,8,1,55,28.36666667,77.51333333,0.373333333,27.37916667,86.28333333,1.675,28.53333333,74.8,0,26.98444444,83.15777778,3.12,28.56547619,82.17619048,2.908333333
7/5/2009,5,5,11,4,44,29.12666667,76.08,3.893333333,28.00833333,84.07916667,3.025,29.43333333,71.26666667,0,28.04222222,84.48666667,6.186666667,28.11666667,81.54404762,3.783333333
8/5/2009,6,6,19,0,52,28.39333333,80.15333333,9.32,28.475,82.60833333,2.35,29.56666667,72.03333333,0.133333333,27.29777778,87.64888889,61.86666667,28.35952381,80.65952381,2.504166667
9/5/2009,2,2,4,1,24,27.84,80.92,0.133333333,27.98333333,81.8625,1.075,28.83333333,73.63333333,0,27.04,85.83555556,8.111111111,28.46190476,79.65119048,1.675
10/5/2009,3,11,3,3,33,28.22666667,77.82666667,0.813333333,27.75833333,82.2625,5.733333333,29.46666667,69.93333333,0,26.64222222,84.56666667,4.506666667,28.09166667,82.13690476,1.191666667
11/5/2009,6,18,4,4,63,27.33333333,79.56,4,27.29583333,84.57916667,4.7,29.6,68.13333333,0,26.40888889,84.81111111,28.64888889,28.59761905,79.75357143,7.970833333
12/5/2009,6,7,21,0,70,27.97333333,80.11333333,8.88,28.44166667,81.70416667,0.15,29.7,70.16666667,3.4,27.10666667,84.75333333,0.066666667,28.2,82.44285714,0.4625
13/5/2009,6,12,13,1,63,28.36666667,81.58,19.42666667,28.45833333,82.00416667,13.525,28.1,77.46666667,29.66666667,27.33333333,84.99111111,12.99111111,28.70357143,79.22261905,0.208333333
14/5/2009,5,4,19,3,47,27.08,84.27333333,0.32,27.65,84.95,12.80833333,27.4,79.53333333,3,26.85555556,86.62444444,13.44,27.87857143,83.50238095,18.62083333
15/5/2009,7,11,4,1,55,27.52,83.15333333,3.466666667,27.68333333,83.52916667,2.641666667,28.5,73.46666667,0,27.21555556,85.35111111,1.022222222,27.5,85.54285714,17.80416667
16/5/2009,2,14,4,0,33,27.23333333,82.71333333,9.04,27.7125,84.85416667,4.158333333,28.26666667,76.03333333,0.266666667,27.18666667,85.64222222,3.04,27.59047619,84.9202381,23.875
17/5/2009,2,4,2,2,30,27.62666667,81.14666667,5.053333333,27.11666667,84.225,3.016666667,29.36666667,71.66666667,2.6,26.35777778,87.22444444,20.42666667,26.21190476,89.93095238,20.6125
18/5/2009,8,18,30,3,72,26.12666667,86.43333333,0.48,27.82083333,83.1625,0.066666667,27.53333333,76.43333333,0,26.13111111,85.30222222,1.706666667,26.175,88.08095238,40.675
19/5/2009,5,16,8,1,56,27.75333333,82.93333333,2.906666667,28.64166667,80.84166667,3.325,28.63333333,74.53333333,1.266666667,27.34444444,82.71111111,0.453333333,26.0702381,86.4702381,3.675
20/5/2009,4,13,22,1,51,28.02,79.63333333,0,27.9875,82.44166667,1.758333333,29.13333333,70.9,0,27.37111111,83.38222222,1.906666667,27.83095238,80.59404762,0.283333333
